pk,type,borrow_fee,create_time,borrow_time,member_fk
1,1,7426.95,2022-09-21 08:05:44,1,433
2,1,2021.65,2022-10-06 00:44:41,1,318
3,1,7101.99,2022-12-26 21:58:43,1,677
4,1,5696.76,2023-04-04 02:55:25,1,811
5,1,9862.32,2023-02-09 05:25:38,1,786
6,1,3250.98,2022-10-07 00:25:47,1,458
7,1,2525.43,2022-07-30 19:15:56,1,394
8,1,6425.86,2023-10-20 16:52:12,1,310
9,1,4010.14,2023-02-14 00:01:41,1,77
10,1,6458.09,2022-10-07 06:55:16,1,580
11,1,800.27,2023-01-22 14:55:14,1,953
12,1,3992.60,2023-12-24 14:40:23,1,819
13,1,2004.31,2023-10-04 15:58:09,1,9
14,1,4276.78,2023-11-04 09:35:34,1,98
15,1,3254.06,2022-09-24 21:32:09,1,94
16,1,7883.29,2022-08-17 09:01:26,1,723
17,1,9655.59,2023-06-12 09:34:31,1,839
18,1,1977.93,2022-10-06 02:09:06,1,878
19,1,253.72,2023-01-06 17:33:27,1,634
20,1,6720.57,2023-05-10 13:30:15,1,964
21,1,7815.02,2023-08-22 17:47:04,1,926
22,1,294.37,2023-09-17 13:22:21,1,892
23,1,1254.34,2023-01-27 03:08:39,1,296
24,1,1571.30,2023-08-17 23:34:21,1,217
25,1,3282.91,2023-01-18 00:12:54,1,54
26,1,5798.70,2023-05-01 08:54:56,1,622
27,1,6885.00,2023-06-01 10:13:23,1,114
28,1,7047.48,2023-09-12 15:16:03,1,657
29,1,4301.10,2023-07-03 19:48:37,1,475
30,1,2283.61,2023-06-25 21:34:25,1,771
31,1,2267.43,2022-09-06 18:53:00,1,68
32,1,2546.65,2023-04-18 17:47:59,1,124
33,1,3363.29,2023-06-19 07:46:59,1,699
34,1,3728.98,2022-09-20 08:28:30,1,349
35,1,9868.89,2023-06-05 08:23:04,1,32
36,1,340.15,2022-10-03 02:34:15,1,640
37,1,4926.90,2023-10-06 19:26:07,1,92
38,1,3902.17,2023-07-11 09:44:56,1,192
39,2,7377.92,2022-09-07 12:05:04,2,68
40,1,5062.76,2022-10-13 04:09:55,1,950
41,1,6578.99,2023-03-23 00:01:16,1,628
42,1,5850.39,2022-10-19 13:31:56,1,61
43,1,6514.64,2022-12-22 16:58:47,1,19
44,1,3660.57,2022-12-12 06:40:47,1,392
45,1,1512.95,2023-11-22 07:44:10,1,855
46,1,9079.11,2023-10-30 23:58:41,1,543
47,1,8916.83,2022-12-01 22:27:40,1,691
48,1,1649.16,2023-04-09 02:32:30,1,249
49,1,6530.73,2023-06-09 09:45:27,1,650
50,1,4961.04,2023-09-10 13:06:06,1,139
51,1,1481.26,2022-10-10 18:32:53,1,161
52,1,7258.96,2022-10-26 06:36:22,1,405
53,1,5707.71,2024-01-27 11:43:18,1,362
54,1,6485.11,2023-08-11 05:38:56,1,561
55,1,519.51,2023-06-09 04:38:52,1,494
56,1,4905.16,2023-08-19 00:47:21,1,765
57,1,6282.17,2023-12-07 07:33:27,1,766
58,1,5009.68,2023-05-27 03:37:13,1,140
59,1,7850.46,2022-12-13 03:09:15,1,187
60,1,2689.49,2023-11-23 00:02:18,1,79
61,1,3424.29,2022-09-06 10:53:28,1,984
62,1,4655.16,2023-03-20 13:56:05,1,118
63,1,5713.17,2024-01-24 00:14:00,1,789
64,1,5279.59,2023-10-01 17:22:37,1,704
65,1,9866.54,2023-12-16 03:43:25,1,621
66,1,7498.26,2022-11-17 19:11:56,1,547
67,1,1820.74,2023-11-17 01:46:52,1,828
68,1,9191.64,2022-10-27 17:09:00,1,891
69,1,8836.48,2023-01-03 18:04:47,1,697
70,1,8255.97,2023-01-03 23:56:29,1,720
71,1,5329.92,2023-10-11 20:22:49,1,177
72,1,7787.97,2023-04-05 00:31:24,1,890
73,1,6091.63,2023-02-14 11:11:22,1,22
74,1,172.57,2023-08-03 16:23:14,1,673
75,1,276.26,2023-03-12 20:32:00,1,565
76,1,9805.90,2023-07-18 00:07:33,1,346
77,1,8964.24,2022-08-28 08:06:11,1,352
78,1,3633.67,2022-09-27 22:45:35,1,441
79,1,534.27,2022-12-23 10:00:50,1,238
80,1,8082.41,2023-04-17 15:49:03,1,119
81,1,8795.13,2022-08-21 10:05:52,1,635
82,1,1669.23,2023-11-27 16:53:04,1,40
83,1,3383.03,2023-05-19 03:00:04,1,748
84,2,1087.85,2022-09-27 08:53:30,2,349
85,1,4539.17,2022-12-30 00:07:09,1,863
86,1,8852.48,2023-03-05 12:49:37,1,386
87,1,6732.27,2023-09-23 07:31:55,1,229
